Number: 6980368, Binary: 11010101000001100010000, Hex: 6A8310
Number: -44, Binary: , Hex: 
Number: 28, Binary: 11100, Hex: 1C
Number: 35, Binary: 100011, Hex: 23
Number: -33, Binary: , Hex: 
Number: 43, Binary: 101011, Hex: 2B
Number: -4, Binary: , Hex: 
Number: 23, Binary: 10111, Hex: 17
Number: -49, Binary: , Hex: 
Number: 49, Binary: 110001, Hex: 31
Number: -7, Binary: , Hex: 
Number: -38, Binary: , Hex: 
Number: -45, Binary: , Hex: 
Number: 5, Binary: 101, Hex: 5
Number: -21, Binary: , Hex: 
Number: 26, Binary: 11010, Hex: 1A
Number: -2, Binary: , Hex: 
Number: -24, Binary: , Hex: 
Number: 6, Binary: 110, Hex: 6
Number: -45, Binary: , Hex: 
Number: -4, Binary: , Hex: 
Number: 15, Binary: 1111, Hex: F
Number: 0, Binary: 0, Hex: 0
Number: -17, Binary: , Hex: 
Number: -35, Binary: , Hex: 
Number: 43, Binary: 101011, Hex: 2B
Number: 45, Binary: 101101, Hex: 2D
Number: -35, Binary: , Hex: 
Number: -8, Binary: , Hex: 
Number: 28, Binary: 11100, Hex: 1C
Number: 47, Binary: 101111, Hex: 2F
Number: 34, Binary: 100010, Hex: 22
Number: -24, Binary: , Hex: 
Number: -42, Binary: , Hex: 
Number: -13, Binary: , Hex: 
Number: 14, Binary: 1110, Hex: E
Number: -45, Binary: , Hex: 
Number: -35, Binary: , Hex: 
Number: 27, Binary: 11011, Hex: 1B
Number: -12, Binary: , Hex: 
Number: -19, Binary: , Hex: 
Number: -20, Binary: , Hex: 
Number: -14, Binary: , Hex: 
Number: 20, Binary: 10100, Hex: 14
Number: 30, Binary: 11110, Hex: 1E
Number: 12, Binary: 1100, Hex: C
Number: -36, Binary: , Hex: 
Number: -47, Binary: , Hex: 
Number: -27, Binary: , Hex: 
Number: -3, Binary: , Hex: 
Number: 6, Binary: 110, Hex: 6
Number: 36, Binary: 100100, Hex: 24
Number: 9, Binary: 1001, Hex: 9
Number: -16, Binary: , Hex: 
Number: 36, Binary: 100100, Hex: 24
Number: -27, Binary: , Hex: 
Number: 7, Binary: 111, Hex: 7
Number: -6, Binary: , Hex: 
Number: -5, Binary: , Hex: 
Number: 5, Binary: 101, Hex: 5
Number: 47, Binary: 101111, Hex: 2F
Number: 23, Binary: 10111, Hex: 17
Number: -48, Binary: , Hex: 
Number: -24, Binary: , Hex: 
Number: 40, Binary: 101000, Hex: 28
Number: -4, Binary: , Hex: 
Number: -18, Binary: , Hex: 
Number: -19, Binary: , Hex: 
Number: 14, Binary: 1110, Hex: E
Number: 15, Binary: 1111, Hex: F
Number: 1, Binary: 1, Hex: 1
Number: 24, Binary: 11000, Hex: 18
Number: -9, Binary: , Hex: 
Number: -50, Binary: , Hex: 
Number: 18, Binary: 10010, Hex: 12
Number: 15, Binary: 1111, Hex: F
Number: 30, Binary: 11110, Hex: 1E
Number: 44, Binary: 101100, Hex: 2C
Number: 9, Binary: 1001, Hex: 9
Number: 19, Binary: 10011, Hex: 13
Number: 33, Binary: 100001, Hex: 21
Number: 41, Binary: 101001, Hex: 29
Number: -24, Binary: , Hex: 
Number: 43, Binary: 101011, Hex: 2B
Number: 48, Binary: 110000, Hex: 30
Number: -23, Binary: , Hex: 
Number: 7, Binary: 111, Hex: 7
Number: 28, Binary: 11100, Hex: 1C
Number: 8, Binary: 1000, Hex: 8
Number: -2, Binary: , Hex: 
Number: 37, Binary: 100101, Hex: 25
Number: 42, Binary: 101010, Hex: 2A
Number: -17, Binary: , Hex: 
Number: -6, Binary: , Hex: 
Number: 36, Binary: 100100, Hex: 24
Number: 22, Binary: 10110, Hex: 16
Number: 27, Binary: 11011, Hex: 1B
Number: 31, Binary: 11111, Hex: 1F
Number: -47, Binary: , Hex: 
Number: -43, Binary: , Hex: 
Number: 0, Binary: 0, Hex: 0
Number: 27, Binary: 11011, Hex: 1B
Number: 30, Binary: 11110, Hex: 1E
Number: 12, Binary: 1100, Hex: C
Number: -15, Binary: , Hex: 
Number: -19, Binary: , Hex: 
Number: -42, Binary: , Hex: 
Number: -37, Binary: , Hex: 
Number: 31, Binary: 11111, Hex: 1F
Number: -10, Binary: , Hex: 
Number: 18, Binary: 10010, Hex: 12
Number: 33, Binary: 100001, Hex: 21
Number: -15, Binary: , Hex: 
Number: 17, Binary: 10001, Hex: 11
Number: 25, Binary: 11001, Hex: 19
Number: -25, Binary: , Hex: 
Number: -5, Binary: , Hex: 
Number: 33, Binary: 100001, Hex: 21
Number: -13, Binary: , Hex: 
Number: 33, Binary: 100001, Hex: 21
Number: -10, Binary: , Hex: 
Number: 47, Binary: 101111, Hex: 2F
Number: 47, Binary: 101111, Hex: 2F
Number: -13, Binary: , Hex: 
Number: -32, Binary: , Hex: 
Number: 1, Binary: 1, Hex: 1
Number: 1, Binary: 1, Hex: 1
Number: -25, Binary: , Hex: 
Number: -33, Binary: , Hex: 
Number: 16, Binary: 10000, Hex: 10
Number: 17, Binary: 10001, Hex: 11
Number: 4, Binary: 100, Hex: 4


Number: -39, Binary: , Hex: 
Number: -36, Binary: , Hex: 
Number: 8, Binary: 1000, Hex: 8
Number: 34, Binary: 100010, Hex: 22
Number: 17, Binary: 10001, Hex: 11
Number: 49, Binary: 110001, Hex: 31
Number: 5, Binary: 101, Hex: 5
Number: 0, Binary: 0, Hex: 0
Number: 33, Binary: 100001, Hex: 21
Number: 12, Binary: 1100, Hex: C
Number: -6, Binary: , Hex: 
Number: 27, Binary: 11011, Hex: 1B
Number: -4, Binary: , Hex: 
Number: -38, Binary: , Hex: 
Number: 26, Binary: 11010, Hex: 1A
Number: 49, Binary: 110001, Hex: 31
Number: 29, Binary: 11101, Hex: 1D
Number: 42, Binary: 101010, Hex: 2A
Number: -16, Binary: , Hex: 
Number: 34, Binary: 100010, Hex: 22
Number: 20, Binary: 10100, Hex: 14
Number: 0, Binary: 0, Hex: 0
Number: 25, Binary: 11001, Hex: 19
Number: 45, Binary: 101101, Hex: 2D
Number: 3, Binary: 11, Hex: 3
Number: -46, Binary: , Hex: 
Number: -46, Binary: , Hex: 
Number: 29, Binary: 11101, Hex: 1D
Number: 33, Binary: 100001, Hex: 21
Number: 29, Binary: 11101, Hex: 1D
Number: 26, Binary: 11010, Hex: 1A
Number: -5, Binary: , Hex: 
Number: -36, Binary: , Hex: 
Number: 12, Binary: 1100, Hex: C
Number: 45, Binary: 101101, Hex: 2D
Number: -50, Binary: , Hex: 
Number: 0, Binary: 0, Hex: 0
Number: -6, Binary: , Hex: 


Execution time: 0.6326594352722168 seconds
